citycode,date,pollen
21201,2026-03-19T00:00:00+09:00,0
21201,2026-03-19T01:00:00+09:00,0
21201,2026-03-19T02:00:00+09:00,0
21201,2026-03-19T03:00:00+09:00,0
21201,2026-03-19T04:00:00+09:00,0
21201,2026-03-19T05:00:00+09:00,0
21201,2026-03-19T06:00:00+09:00,0
21201,2026-03-19T07:00:00+09:00,0
21201,2026-03-19T08:00:00+09:00,1
21201,2026-03-19T09:00:00+09:00,0
21201,2026-03-19T10:00:00+09:00,0
21201,2026-03-19T11:00:00+09:00,0
21201,2026-03-19T12:00:00+09:00,3
21201,2026-03-19T13:00:00+09:00,5
21201,2026-03-19T14:00:00+09:00,2
21201,2026-03-19T15:00:00+09:00,5
21201,2026-03-19T16:00:00+09:00,6
21201,2026-03-19T17:00:00+09:00,9
21201,2026-03-19T18:00:00+09:00,3
21201,2026-03-19T19:00:00+09:00,2
21201,2026-03-19T20:00:00+09:00,4
21201,2026-03-19T21:00:00+09:00,1
21201,2026-03-19T22:00:00+09:00,0
21201,2026-03-19T23:00:00+09:00,1
